uid,FTO,language
catalan-22-161-432606,314,Catalan
catalan-22-167-449617,335,Catalan
catalan-22-169-454110,172,Catalan
catalan-22-176-470276,66,Catalan
catalan-22-180-477918,756,Catalan
catalan-22-182-482006,1420,Catalan
catalan-22-203-535593,-5465,Catalan
catalan-22-213-562086,-2484,Catalan
catalan-22-229-605958,212,Catalan
catalan-22-241-633350,428,Catalan
catalan-22-244-640512,388,Catalan
catalan-22-251-653621,-127,Catalan
catalan-23-004-5305,363,Catalan
catalan-23-006-8766,-1004,Catalan
catalan-23-011-16566,-2028,Catalan
catalan-23-020-30494,1708,Catalan
catalan-23-040-61854,-4,Catalan
catalan-23-045-67342,308,Catalan
catalan-23-081-142542,4,Catalan
catalan-23-098-178390,-116,Catalan
catalan-23-103-186118,596,Catalan
catalan-23-116-204318,180,Catalan
catalan-23-125-221102,-156,Catalan
catalan-23-129-229089,709,Catalan
catalan-23-137-245742,980,Catalan
catalan-23-158-278785,-4467.000000000058,Catalan
catalan-23-162-285358,156,Catalan
catalan-23-223-394646,276,Catalan
catalan-23-227-399064,1173,Catalan
catalan-23-273-484070,284,Catalan
catalan-23-280-498446,1044,Catalan
catalan-23-283-502873,5,Catalan
catalan-23-310-551030,188,Catalan
catalan-23-314-558222,-1852,Catalan
catalan-23-317-562918,532,Catalan
catalan-23-319-564614,122,Catalan
catalan-23-333-583414,284,Catalan
catalan-23-338-589347,769,Catalan
catalan-23-345-596062,628,Catalan
catalan-23-347-599166,-116.00000000011642,Catalan
catalan-23-356-612497,87,Catalan
catalan-23-391-678462,610,Catalan
catalan-23-407-709294,-537,Catalan
catalan-23-426-750822,356,Catalan
catalan-23-432-772134,332,Catalan
catalan-24-004-11310,116,Catalan
catalan-24-012-34452,706,Catalan
catalan-24-021-59246,-428,Catalan
catalan-24-054-134582,-1261,Catalan
catalan-24-063-150430,2972,Catalan
catalan-24-083-200342,-84.0000000000291,Catalan
catalan-24-101-248782,676,Catalan
catalan-24-135-330908,818,Catalan
catalan-24-142-355238,1171.9999999999418,Catalan
catalan-24-144-360222,284,Catalan
catalan-24-147-363886,-2629,Catalan
catalan-25-025-78835,601,Catalan
catalan-25-027-82694,-132,Catalan
catalan-25-068-178342,4227.999999999971,Catalan
catalan-25-073-192414,1647,Catalan
catalan-25-085-225686,44,Catalan
catalan-25-098-261182,708.0000000000291,Catalan
catalan-25-111-295224,2702,Catalan
catalan-25-125-327169,415,Catalan
catalan-25-127-329685,-517,Catalan
catalan-25-137-356758,1156,Catalan
catalan-25-149-379110,404,Catalan
catalan-25-152-381823,1645,Catalan
catalan-25-157-388535,93,Catalan
catalan-25-182-445254,410,Catalan
catalan-25-184-453876,-1734,Catalan
catalan-25-187-460896,1118,Catalan
catalan-26-003-9358,556,Catalan
catalan-26-005-13854,556,Catalan
catalan-26-013-33695,-421,Catalan
catalan-26-015-38078,404,Catalan
catalan-26-025-70440,286,Catalan
catalan-26-029-80996,464,Catalan
catalan-26-036-93574,-2326,Catalan
catalan-26-041-102270,508.00000000001455,Catalan
catalan-26-048-121870,364,Catalan
catalan-26-054-137834,-224,Catalan
catalan-26-061-151078,308,Catalan
catalan-26-069-179038,-4,Catalan
catalan-26-076-197038,-428,Catalan
catalan-26-085-220214,908.0000000000292,Catalan
catalan-26-115-303390,-332,Catalan
catalan-26-117-306782,524,Catalan
catalan-26-125-328693,-803,Catalan
catalan-26-133-355822,3004,Catalan
catalan-27-004-3752,-1166,Catalan
catalan-27-026-50384,-994,Catalan
catalan-27-041-73187,81,Catalan
catalan-27-043-74414,-452,Catalan
catalan-27-046-77682,-376,Catalan
catalan-27-049-81089,521,Catalan
catalan-27-051-83814,-2453,Catalan
catalan-27-070-115901,-84.9999999999709,Catalan
catalan-27-091-152225,-715,Catalan
catalan-27-094-155470,-231,Catalan
catalan-27-097-158768,-3388.999999999971,Catalan
catalan-27-112-180844,10,Catalan
catalan-27-114-187886,84,Catalan
catalan-27-123-200711,486,Catalan
catalan-27-131-205766,-382,Catalan
catalan-27-137-214238,118,Catalan
catalan-27-146-224339,380,Catalan
catalan-27-159-242851,-672,Catalan
catalan-27-183-277946,-549,Catalan
catalan-27-194-293761,-836,Catalan
catalan-27-196-295417,-2016.9999999998836,Catalan
catalan-27-202-302979,149,Catalan
catalan-27-208-309826,104,Catalan
catalan-27-234-350998,-1204,Catalan
catalan-27-237-355094,-335,Catalan
catalan-27-241-357748,-626,Catalan
catalan-27-244-364020,-2556,Catalan
catalan-27-264-386060,17.999999999941792,Catalan
catalan-27-270-395398,-228,Catalan
catalan-27-284-410878,-19,Catalan
catalan-27-311-445046,-235,Catalan
catalan-27-333-470978,-1305,Catalan
catalan-27-336-475920,-198,Catalan
catalan-27-344-484957,385,Catalan
catalan-27-373-534246,-524,Catalan
catalan-27-375-536838,-33,Catalan
catalan-27-383-550860,-376,Catalan
catalan-27-385-553695,187,Catalan
catalan-27-387-556570,-771,Catalan
catalan-27-390-561390,-11,Catalan
catalan-28-003-2526,380,Catalan
catalan-28-005-5318,-784,Catalan
catalan-28-022-47118,-606,Catalan
catalan-28-027-64207,-710.0000000000073,Catalan
catalan-28-040-95698,296.00000000001455,Catalan
catalan-28-048-115366,161,Catalan
catalan-28-050-119846,3411,Catalan
catalan-28-066-171145,-159,Catalan
catalan-28-085-224568,-41.000000000029104,Catalan
catalan-28-090-242486,618,Catalan
catalan-28-093-249110,75,Catalan
catalan-28-095-250638,-138,Catalan
catalan-28-099-257488,-365.9999999999709,Catalan
catalan-28-108-278926,7244,Catalan
catalan-28-125-315570,2082,Catalan
catalan-28-138-344702,1725,Catalan
catalan-28-148-381018,-109,Catalan
catalan-28-150-384110,-495,Catalan
catalan-28-159-417042,-2258.999999999942,Catalan
catalan-28-165-426574,252,Catalan
catalan-28-172-441575,374,Catalan
catalan-28-176-443878,-622,Catalan
catalan-28-182-453447,-4978,Catalan
catalan-28-197-487710,-1260,Catalan
catalan-28-221-527374,-96,Catalan
catalan-29-008-25276,230,Catalan
catalan-29-030-73843,273,Catalan
catalan-29-036-81366,53,Catalan
catalan-29-047-104798,124,Catalan
catalan-29-060-135124,-710,Catalan
catalan-29-063-143102,388,Catalan
catalan-29-081-180561,415,Catalan
catalan-29-088-192110,204,Catalan
catalan-29-092-202414,217,Catalan
catalan-29-095-210536,174,Catalan
catalan-29-100-218262,266,Catalan
catalan-29-110-240301,-219,Catalan
catalan-29-116-250365,459,Catalan
catalan-29-131-278182,492,Catalan
catalan-29-143-305006,1018,Catalan
catalan-29-152-326830,652,Catalan
