glottocode,corpus,type,access,url,citekey,language,langshort,langfull,level,category,classification,name_gl,Macroarea,lat,lon,ISO639P3code,Countries,Family_ID,Language_ID,family
haio1238,akhoe_haikom1,field,yes,"https://hdl.handle.net/1839/
b1796725-1a49-48ee-93ea-75e5b440c7bc",widlokCollectionAkhoeHai2007,akhoe_haikom,╪Akhoe,╪Akhoe Hai||om,language,Spoken_L1_Language,khoe1240/khoe1241/khoe1242/nort3245,Hai//om-Akhoe,Africa,-19.7637,17.0299,hgm,BW;NA;ZA,khoe1240,NA,Khoe-Kwadi
mosi1247,akie1,field,yes,https://hdl.handle.net/1839/b17d3caf-83e6-4ee9-8d1a-f9e4f8179971,legereCollectionAkie2019,akie,Akie,Akie,language,Spoken_L1_Language,nilo1247/sout2830/kale1246/okie1247,Akie,Africa,-5.43471,37.1869,mwy,TZ,nilo1247,NA,Nilotic
akpe1248,akpes1,field,yes,https://www.elararchive.org/dk0555,lauDocumentingAbesabesi2019,akpes,Akpes,Akpes (Àbèsàbèsì),language,Spoken_L1_Language,atla1278/volt1241/benu1247/akpe1249,Akpes,Africa,7.50256,5.95559,ibe,NG,atla1278,NA,Atlantic-Congo
waig1244,ambel1,field,yes,http://hdl.handle.net/2196/00-0000-0000-000C-E849-2,arnoldDocumentationAmbelAustronesian2017,ambel,Ambel,Ambel,language,Spoken_L1_Language,aust1307/mala1545/cent2237/east2712/sout2850/sout3229/raja1255/ambe1249,Waigeo,Papunesia,-0.17957,130.917,wgo,ID,aust1307,NA,Austronesian
anal1239,anal1,field,yes,http://hdl.handle.net/2196/af2415d6-dc75-4330-ba5d-7b8122e50982,ozerovCommunitydrivenDocumentationNatural2018,anal,Anal,Anal Naga,language,Spoken_L1_Language,sino1245/kuki1245/kuki1246/oldk1252/anal1240,Anal,Eurasia,24.0506,94.2806,anm,IN;MM,sino1245,NA,Sino-Tibetan
egyp1253,arabic1,phone,no,https://catalog.ldc.upenn.edu/LDC97S45,canavanalexandraCALLHOMEEgyptianArabic1997,arabic,Arabic,Egyptian Arabic,language,Spoken_L1_Language,afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251/egyp1254,Egyptian Arabic,Africa,31,31,arz,EG;IL;LY,afro1255,NA,Afro-Asiatic
arap1274,arapaho1,field,yes,http://hdl.handle.net/2196/3bba11be-a5e2-47dd-bfe5-42f2ee9e0bf4,cowellConversationalDatabaseArapaho1950,arapaho,Arapaho,Arapaho,language,Spoken_L1_Language,algi1248/algo1256/algo1257/arap1273/arap1280,Arapaho,North America,43.3879,-108.81,arp,US,algi1248,NA,Algic
isim1234,asimjeeg_datooga1,field,yes,http://hdl.handle.net/2196/1e9151d8-df0a-4ea7-bb6d-377b65b14310,griscomDocumentationIsimjeegDatooga2018,asimjeeg_datooga,Datooga,Asimjeeg Datooga,language,Spoken_L1_Language,nilo1247/sout2830/tato1241/geme1247/nort3277,Isimjeega-Rootigaanga,Africa,-3.423772,35.42881,NA,TZ,nilo1247,NA,Nilotic
kwaa1262,baa1,field,yes,http://hdl.handle.net/2196/e050a2cd-f61d-435e-824e-93d24877bbaa,mollernwadigoDocumentationProjectBaa2016,baa,Baa,Baa,language,Spoken_L1_Language,atla1278/volt1241/nort3149/came1255,Baa,Africa,9.42222,11.4439,kwb,NG,atla1278,NA,Atlantic-Congo
musi1241,besemah1,field,yes,https://hdl.handle.net/1839/00-0000-0000-0022-6B59-B,gilDocumentationBesemahMalayic2015,besemah,Besemah,Besemah,language,Spoken_L1_Language,aust1307/mala1545/mala1536/nort3170/mala1538/nucl1806/cent2391/musi1243,Musi,Papunesia,-2.93987,103.945,mui,ID,aust1307,NA,Austronesian
braz1246,brazilian_portuguese1,lab,yes,https://fale.ufal.br/projeto/nurcdigital/,dasilvaProjetoNormaUrbana1996,brazilian_portuguese,Br. Portuguese,Brazilian Portuguese,dialect,Dialect,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/gali1263/macr1272/braz1247/port1283,Brazilian Portuguese,South America,-23.04,-43.65,NA,NA,indo1319,port1283,Indo-European
stan1289,catalan1,lab,yes,https://catalog.elra.info/en-us/repository/browse/ELRA-S0407/,garridoGlissandoCorpusMultidisciplinary2013,catalan,Catalan,Catalan,language,Spoken_L1_Language,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183,Catalan,Eurasia,41.453,1.569,cat,AD;ES;FR;IT,indo1319,NA,Indo-European
chit1279,chitkuli1,field,yes,http://hdl.handle.net/2196/cf110665-3694-4e74-a8f8-79e105d89b50,martinezDocumentaryCorpusChhitkulRakchham2020,chitkuli,Chitkuli,Chitkuli Kinnauri,language,Spoken_L1_Language,sino1245/bodi1256/tibe1275/west2868/kinn1250,Chhitkul-Rakchham,Eurasia,31.2965,78.5287,cik,IN,sino1245,NA,Sino-Tibetan
sant1424,cora1,field,yes,	http://hdl.handle.net/2196/0829a3a6-92c4-4346-8e37-04845cdd1f7f,parkerDocumentationCoraSan2020,cora,Cora,Cora,language,Spoken_L1_Language,utoa1244/sout3136/cora1261/cora1259/cora1260,Santa Teresa Cora,North America,22.7102,-104.7,cok,MX,utoa1244,NA,Uto-Aztecan
croa1245,croatian1,lab,yes,https://ca.talkbank.org/access/Croatian.html,kuvackraljevicCroatianAdultSpoken2016,croatian,Croatian,Croatian,dialect,Dialect,indo1319/clas1257/balt1263/slav1255/sout3147/west2804/sout1528/shto1241/news1236/east2821,Croatian Standard,Eurasia,45.555,15.982,hrv,AT;BA;HR;HU;IT;ME;RS;SI,indo1319,sout1528,Indo-European
czec1258,czech1,lab,yes,https://mirjamernestus.nl/Ernestus/NCCCz/index.php,ernestusNijmegenCorpusCasual2014a,czech,Czech,Czech,language,Spoken_L1_Language,indo1319/clas1257/balt1263/slav1255/west2792/czec1260/czec1261,Czech,Eurasia,49.873398,15.10437,ces,AT;CZ;PL;SK,indo1319,NA,Indo-European
dani1285,danish1,lab,yes,https://samtalebank.talkbank.org/,wagnerSamtaleBankDanishSpoken2017,danish,Danish,Danish,language,Spoken_L1_Language,indo1319/clas1257/germ1287/nort3152/nort3160/sout3248,Danish,Eurasia,54.8655,9.36284,dan,DE;DK;FO;GL,indo1319,NA,Indo-European
ersu1241,duoxu1,field,yes,NA,chirkovaDuoxuDocumentationCritically2017,duoxu,Duoxu,Duoxu,language,Spoken_L1_Language,sino1245/burm1265/naqi1236/ersu1242,Ersu,Eurasia,29.2867,102.213,ers,CN,sino1245,NA,Sino-Tibetan
dutc1256,dutch1,lab,yes,http://hdl.handle.net/10032/tm-a2-d9,taalunieCorpusGesprokenNederlands2014,dutch,Dutch,Dutch,language,Spoken_L1_Language,indo1319/clas1257/germ1287/nort3152/west2793/macr1270/midd1347/mode1257/glob1241,Dutch,Eurasia,52,5,nld,AW;BE;BQ;BR;CW;DE;GF;GY;NL;SR;SX,indo1319,NA,Indo-European
nort3314,english2,phone,yes,https://ca.talkbank.org/access/CallFriend/eng-n.html,canavanalexandraCALLFRIENDAmericanEnglishNonSouthern1996,english,English,English,dialect,Dialect,indo1319/clas1257/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/stan1293,North American English,North America,39.1,-102.3,NA,NA,indo1319,stan1293,Indo-European
west2369,farsi1,phone,no,https://catalog.ldc.upenn.edu/LDC2014S01,canavanalexandraCALLFRIENDFarsiSecond2014,farsi,Farsi,Farsi,language,Spoken_L1_Language,indo1319/clas1257/indo1320/iran1269/sout3157/midd1352/mode1259/fars1254/fars1255,Western Farsi,Eurasia,32.9,53.3,pes,AF;AZ;IQ;IR;TM;TR,indo1319,NA,Indo-European
stan1290,french2,lab,yes,https://mirjamernestus.nl/Ernestus/NCCFr/index.php,torreiraNijmegenCorpusCasual2010,french,French,French,language,Spoken_L1_Language,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/nort3208/gall1280/oila1234/cent2283/macr1273/glob1239,French,Eurasia,48,2,fra,AD;BE;CA;CH;FR;GF;IT;LU;MC;PM;TF;US,indo1319,NA,Indo-European
stan1295,german1,phone,no,https://catalog.ldc.upenn.edu/LDC97S43,canavanalexandraCALLHOMEGermanSpeech1997,german,German,German,language,Spoken_L1_Language,indo1319/clas1257/germ1287/nort3152/west2793/high1289/high1286/midd1349/mode1258/uppe1464/glob1243,German,Eurasia,48.649,12.4676,deu,AT;BE;CH;CZ;DE;DK;FR;HU;IT;LI;LU;NL;PL;RO;SI;SK,indo1319,NA,Indo-European
gunw1252,gunwinggu1,field,yes,https://dx.doi.org/10.4225/72/56E97A3F99539,aungsiAudioVideoRecordings2014,gunwinggu,Gunwinggu,Bininj Gun-Wok,language,Spoken_L1_Language,gunw1250/marn1242/cent2231,Bininj Kun-Wok,Australia,-12.3398,133.358,gup,AU,gunw1250,NA,Gunwinyguan
bodo1267,gutob1,field,yes,http://hdl.handle.net/2196/f027a3a2-d38f-4428-88ec-33b46d346cb3,vossDocumentationGrammarGutob2018,gutob,Gutob,Gutob,language,Spoken_L1_Language,aust1305/mund1335/guto1244,Bodo Gadaba,Eurasia,18.3857,82.771,gbj,IN,aust1305,NA,Austroasiatic
haus1257,hausa1,field,yes,http://www.language-archives.org/language/hau,caronHausaCollectionCOllections2016,hausa,Hausa,Hausa,language,Spoken_L1_Language,afro1255/chad1250/west2785/west2714/west2718,Hausa,Africa,11.1513,8.7804,hau,BF;BJ;CM;NE;NG;TD,afro1255,NA,Afro-Asiatic
heyo1240,heyo1,field,yes,https://www.elararchive.org/dk0550/,diazDocumentationHeyoAuk2018,heyo,Heyo,Heyo,language,Spoken_L1_Language,nucl1708/nucl1590/heyo1241,Heyo,Papunesia,-3.83003,142.471,auk,PG,nucl1708,NA,Nuclear Torricelli
hung1274,hungarian1,lab,yes,https://hucomtech.unideb.hu/hucomtech/,hunyadiHumanhumanHumanmachineCommunication2018,hungarian,Hungarian,Hungarian,language,Spoken_L1_Language,ural1272,Hungarian,Eurasia,46.9068585714,19.6555271429,hun,AT;HR;HU;RO;RS;SI;SK;UA,ural1272,NA,Uralic
ital1282,italian1,lab,yes,https://www.sciencedirect.com/science/article/pii/S0167639321000303,mereuDialogicItAlianCreation2021,italian,Italian,Italian,language,Spoken_L1_Language,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/ital1286/ital1287,Italian,Eurasia,43.0464,12.6489,ita,AT;CH;FR;HR;IT;SI;SM;VA,indo1319,NA,Indo-European
nucl1643,japanese3,phone,yes,https://ca.talkbank.org/access/CallFriend/jpn.html,nakamuraCABankJapaneseCallFriend2005,japanese,Japanese,Japanese,language,Spoken_L1_Language,japo1237/japa1256/japa1258,Japanese,Eurasia,35,135,jpn,JP,japo1237,NA,Japonic
jeju1234,jejueo1,field,yes,https://www.elararchive.org/dk0351/,kimMultimodalDocumentationJejuan2018,jejueo,Jejueo,Jejueo,language,Spoken_L1_Language,kore1284,Jejueo,Eurasia,33.3805,126.5554,jje,KR,kore1284,NA,Koreanic
suda1237,juba_creole1,field,yes,http://www.language-archives.org/language/pga,manfrediJubaCreoleCollection2016,juba_creole,Juba Creole,Juba Creole,language,Spoken_L1_Language,afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251/egyp1254/suda1235,South Sudanese Creole Arabic,Africa,5.654,28.774,pga,SS,afro1255,NA,Afro-Asiatic
kaka1265,kakabe1,field,yes,http://hdl.handle.net/2196/3015b4c3-1ffc-4cc5-8309-f05f9d4ce8b2,vydrinaDescriptionDocumentationKakabe2013,kakabe,Kakabe,Kakabe,language,Spoken_L1_Language,mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/nucl1445,Kakabe,Africa,10.5962,-11.4418,kke,GN,mand1469,NA,Mande
kela1258,kelabit1,field,yes,https://www.elararchive.org/dk0301/,hemmingsDocumentationKelabitLanguage2017,kelabit,Kelabit,Kelabit,language,Spoken_L1_Language,aust1307/mala1545/nort3253/nort3171/kela1257,Kelabit,Papunesia,3.31783,115.428,kzi,BN;ID;MY,aust1307,NA,Austronesian
keri1250,kerinci1,field,yes,https://archive.mpi.nl/tla/islandora/object/tla%3A1839_00_0000_0000_0022_654E_D,fadlulKerinciSungaiPenuh2016,kerinci,Kerinci,Kerinci,language,Spoken_L1_Language,aust1307/mala1545/mala1536/nort3170/mala1538/nucl1806/nort3388/keri1253,Kerinci,Papunesia,-1.93668,101.403,kvr,ID,aust1307,NA,Austronesian
khin1240,khinalug1,field,yes,"https://hdl.handle.net/1839/
c09498f1-12dc-4a7a-b21e-99a178660ff8",rind-pawlowskiKhinalugDocumentationProject2016,khinalug,Khinalug,Khinalug,language,Spoken_L1_Language,nakh1245/dagh1238,Khinalug,Eurasia,41.1801,48.0571,kjj,AZ,nakh1245,NA,Nakh-Daghestanian
kore1280,korean1,phone,no,https://catalog.ldc.upenn.edu/LDC96S54,canavanalexandraCALLFRIENDKorean1996,korean,Korean,Korean,language,Spoken_L1_Language,kore1284,Korean,Eurasia,37.54,126.98,kor,CN;KP;KR;RU,kore1284,NA,Koreanic
kula1280,kula1,field,yes,https://www.elararchive.org/uncategorized/SO_0320f6f6-97d4-483f-88fa-755b4eeadc2f/?pg=1&hh_cmis_filter=imdi.writtenFileType/ELAN,williamsDocumentingLanguageInteraction2017,kula,Kula,Kula,language,Spoken_L1_Language,timo1261/alor1249/alor1250/kola1286/tang1352,Kula (Indonesia),Papunesia,-8.2384,125.004,tpg,ID,timo1261,NA,Timor-Alor-Pantar
laal1242,laal1,field,yes,https://hdl.handle.net/1839/93472197-4462-489c-8cee-0d9a3587f3e5,lionnetLaalLanguageDocumentation2020,laal,Laal,Laal,language,Spoken_L1_Language,NA,Laal,Africa,10.0063,17.6143,gdm,TD,laal1242,NA,Laal
lima1246,limassa1,field,yes,https://www.elararchive.org/uncategorized/SO_432bf24a-0f7b-45cc-82aa-bc3dfa384956/?pg=1&hh_cmis_filter=imdi.genre/Conversation|imdi.genre/Interactive%20discourse|imdi.writtenFileType/ELAN,winkhartDocumentationRemnantBakaGundi2016,limassa,Limassa,Limassa,language,Spoken_L1_Language,atla1278/volt1241/nort3149/came1255/uban1244/ngba1292/west2836/baka1271,Limassa,Africa,2.26808,16.1874,bme,CF,atla1278,NA,Atlantic-Congo
came1252,mambila1,field,yes,http://hdl.handle.net/2196/a3bb258a-6738-43dd-9090-a0ee1853d399,ogunsolaDocumentationLenMambila2018,mambila,Mambila,Mambila,language,Spoken_L1_Language,atla1278/volt1241/benu1247/bant1294/nort3168/mamb1309/niza1234/konj1251/mamb1310/mamb1311/mamb1312/east2806,Donga Mambila,Africa,6.43829,11.41953,mcu,CM;NG,atla1278,NA,Atlantic-Congo
